Date,P,PET,Pe,ETa,S,SUST,Qs,Rp,R,h,hmeas,Smeas
2002-02-17,0.0,2.2,0.0,0.344185246208,0.307192651254,0.0,0.0,0.0,0.0,221.584286618,,
2002-02-18,0.0,2.4,0.0,0.371926512538,0.306809221859,0.0,0.0,0.0,0.0,221.575859633,,
2002-02-19,0.0,2.7,0.0,0.414103745918,0.306382310781,0.0,0.0,0.0,0.0,221.567442011,,
2002-02-20,0.0,2.6,0.0,0.394141700129,0.305975979132,0.0,0.0,0.0,0.0,221.559033743,,
2002-02-21,0.0,2.2,0.0,0.329779808706,0.305635999947,0.0,0.0,0.0,0.0,221.550634816,,
2002-02-22,0.1,2.5,0.0,0.371208332784,0.305253310944,0.0,0.0,0.0,0.0,221.542245222,,
2002-02-23,0.0,2.5,0.0,0.367221989004,0.304874731574,0.0,0.0,0.0,0.0,221.533864949,,
2002-02-24,0.3,2.4,0.0,0.348747315743,0.304515198259,0.0,0.0,0.0,0.0,221.525493988,,
2002-02-25,0.1,2.3,0.0,0.330770649983,0.304174197589,0.0,0.0,0.0,0.0,221.517132328,,
2002-02-26,0.1,2.2,0.0,0.313263477899,0.30385124555,0.0,0.0,0.0,0.0,221.508779959,,
2002-02-27,0.0,1.6,0.0,0.225674970333,0.303618590941,0.0,0.0,0.0,0.0,221.50043687,,
2002-02-28,1.4,2.0,0.0,0.280154924511,0.303329771432,0.0,0.0,0.0,0.0,221.492103052,,
2002-03-01,0.3,2.1,0.0,0.291635500026,0.303029116277,0.0,0.0,0.0,0.0,221.483778493,,
2002-03-02,0.0,2.1,0.0,0.289004767423,0.302731173218,0.0,0.0,0.0,0.0,221.475463183,,
2002-03-03,14.8,1.4,11.8,0.261894043083,0.314626127812,0.0,0.0,0.0,0.0,221.467157113,,
2002-03-04,13.9,1.8,10.9,0.418974309109,0.325431308937,0.0,0.0,0.0,0.0,221.458860272,,
2002-03-05,0.0,2.3,0.0,0.531216710647,0.324883662844,0.0,0.0,0.0,0.0,221.450572649,,
2002-03-06,0.1,2.6,0.0,0.594573014139,0.324270700973,0.0,0.0,0.0,0.0,221.442294235,,
2002-03-07,0.0,2.6,0.0,0.587932593878,0.323664584897,0.0,0.0,0.0,0.0,221.434025019,,
2002-03-08,0.0,2.8,0.0,0.626086823801,0.323019134563,0.0,0.0,0.0,0.0,221.425764992,,
2002-03-09,0.0,2.0,0.0,0.441826121362,0.322563643717,0.0,0.0,0.0,0.0,221.417514142,,
2002-03-10,0.5,1.3,0.0,0.284719736798,0.322270118215,0.0,0.0,0.0,0.0,221.409272459,,
2002-03-11,8.2,1.7,5.2,0.408219179279,0.327210098442,0.0,0.0,0.0,0.0,221.401039934,,
2002-03-12,17.6,2.7,14.6,0.812943504383,0.341423558747,0.0,0.0,0.0,0.0,221.392816557,,
2002-03-13,27.2,1.9,24.2,0.762945097813,0.365585471017,0.0,0.0,0.0,0.0,221.384602316,,
2002-03-14,6.5,2.0,3.5,0.826614320334,0.368341538728,0.0,0.0,0.0,0.0,221.376397202,,
2002-03-15,12.5,1.8,9.5,0.81101514871,0.37729925507,0.0,0.0,0.0,0.0,221.368201205,,
2002-03-16,0.0,2.6,0.0,1.16240859659,0.376100895692,0.0,0.0,0.0,0.0,221.360014315,,
2002-03-17,11.5,0.7,8.5,0.335019365012,0.379654619211,0.0,0.0,4.71786882123,0.0,221.351836521,,
2002-03-18,0.0,2.3,0.0,1.05085676744,0.378571261719,0.0,0.0,0.0,9.77430186532e-07,221.343667842,,
2002-03-19,0.8,3.2,0.0,1.44761682292,0.377078873242,0.0,0.0,0.0,5.41345949464e-06,221.335508366,,
2002-03-20,0.0,4.0,0.0,1.78464788736,0.375239030059,0.0,0.0,0.0,1.74896383673e-05,221.327358301,,
2002-03-21,0.0,4.0,0.0,1.75398383432,0.373430799302,0.0,0.0,0.0,4.30514175195e-05,221.319218022,,
2002-03-22,0.0,4.6,0.0,1.98242365329,0.371387063577,0.0,0.0,0.0,8.94144825405e-05,221.311088112,,
2002-03-23,0.0,4.7,0.0,1.98549666172,0.369340159802,0.0,0.0,0.0,0.000165072890844,221.302969397,,
2002-03-24,0.0,4.3,0.0,1.77984452979,0.367505268534,0.0,0.0,0.0,0.000279354122967,221.294862968,,
2002-03-25,0.0,4.2,0.0,1.70634219935,0.365746152865,0.0,0.0,0.0,0.000442054875903,221.286770195,,
2002-03-26,0.0,4.0,0.0,1.59576921441,0.364101029963,0.0,0.0,0.0,0.000663082313855,221.278692729,,
