ncols         60
nrows         65
xllcorner     739300
yllcorner     4553050
cellsize      50
NODATA_value  9999.999
9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999
9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	752.3652	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999
9999.999	9999.999	732.24005	733.5223	734.64954	735.31366	735.7794	736.04364	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	752.19696	752.302	752.35065	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999
9999.999	731.8521	733.0131	733.8527	734.8368	735.49725	735.9896	736.33264	736.6566	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	751.1997	751.4247	751.7189	752.03925	752.23376	752.3367	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999
731.19525	732.5824	733.5558	734.2349	735.1579	735.8463	736.3982	736.8445	737.3127	9999.999	9999.999	9999.999	9999.999	9999.999	750.1035	750.4329	750.9222	751.29987	751.64813	751.962	752.2005	752.3649	752.47614	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999
731.40314	733.0003	733.98395	734.6452	735.607	736.4022	737.1423	738.45984	740.4743	743.9282	745.1053	745.85645	747.1332	748.4102	749.619	750.1932	750.7144	751.16626	751.5693	751.9158	752.1894	752.3893	752.5279	752.6168	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999
731.6738	733.39764	734.4286	735.10956	736.1398	737.07465	738.05975	739.32275	741.3552	743.5622	745.0736	745.9629	747.00006	748.0695	749.14	749.89825	750.51807	751.0419	751.49817	751.8848	752.19415	752.4209	752.5699	752.6448	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999
731.9227	733.9204	734.97235	735.6424	736.69366	737.71906	738.85895	740.1888	741.86584	743.459	744.8365	745.9029	746.93384	747.9366	748.8936	749.6864	750.3675	750.9496	751.4551	751.88153	752.2254	752.47473	752.62756	752.68854	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999
9999.999	734.91943	735.70306	736.25006	737.2365	738.27216	739.4434	740.72235	742.14624	743.5168	744.77484	745.87683	746.9104	747.8771	748.78357	749.57886	750.289	750.9075	751.4514	751.9171	752.2951	752.56647	752.71857	752.7333	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999
9999.999	9999.999	736.5761	736.8775	737.74164	738.75183	739.925	741.12054	742.3782	743.62134	744.8094	745.9117	746.9509	747.8929	748.7663	749.5564	750.2739	750.9149	751.4939	752.0004	752.4159	752.7212	752.8907	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999
9999.999	9999.999	737.1261	737.3741	738.1433	739.1674	740.41425	741.49255	742.60065	743.73956	744.89185	746.0117	747.06146	747.9849	748.8242	749.5936	750.30914	750.9692	751.57886	752.12445	752.59216	752.95447	753.1738	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999
9999.999	9999.999	737.43365	737.76166	738.4933	739.7579	741.05286	741.87195	742.7925	743.8168	745.0026	746.18835	747.2849	748.15375	748.9434	749.6835	750.3882	751.05194	751.681	752.274	752.81256	753.278	753.6134	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999
9999.999	9999.999	9999.999	738.6095	739.01086	740.0537	741.4477	742.1419	742.91986	743.74725	745.26135	746.7105	747.6859	748.3857	749.09955	749.79663	750.4675	751.12103	751.7768	752.42487	753.05896	753.6859	754.3256	755.08936	9999.999	9999.999	9999.999	9999.999	760.4117	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999
9999.999	9999.999	9999.999	739.2633	739.57623	740.4936	741.76776	742.4375	742.9637	743.60913	745.5291	747.0648	747.8429	748.52924	749.22845	749.8667	750.5005	751.15906	751.85315	752.5602	753.29	754.0423	754.8489	755.791	757.0179	758.034	758.90894	759.6821	760.37006	760.90424	761.2516	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999	9999.999
